Option1_Value,Option3_Name,Title,Option2_Value,Option1_Name,Option3_Value,Option2_Name,Vendor,Type,Image_Src
,Wheels,"
MO963
","
MATTE BLACK MACHINED
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/Moto_Metal_963_Dually_MatteBlack_Machined_Front_300.png
"18"" x 10"",20"" x 10"",20"" x 12""",Wheels,"
MO972
","
SATIN BLACK MILLED
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo9729_20x12-1504-205-00-300.png
"18"" x 10"",20"" x 12"",22"" x 12""",Wheels,"
MO969
","
CHROME W/ ACCENTS
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/mm_mo969_20x9-1401-070-00-300.png
"20"" x 10""",Wheels,"
MO955
","
CHROME
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/Moto_Metal_955_Chrome_3001.png
"18"" x 10"",20"" x 12"",22"" x 12""",Wheels,"
MO969
","
SATIN BLACK W/ ACCENTS
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/mo_mo9692_20x9-1401-011-00-300.png
"18"" x 10"",20"" x 10"",20"" x 12""",Wheels,"
MO970
","
SEMI GLOSS BLACK W/ MILLED SPOKES
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motomoetal_mo970_18x9-1510-858-00-3003.png
"18"" x 10"",20"" x 10"",20"" x 12"",22"" x 10""",Wheels,"
MO977 Link
","
SATIN BLACK
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo9772_20x12-1509-576-00_300.png
"18"" x 10"",20"" x 10""",Wheels,"
MO959
","
MATTE BLACK MACHINED
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/MotoMetal_959_6_Lug_Matte_Black_Mach-300.png
"18"" x 10"",20"" x 10""",Wheels,"
MO957
","
MATTE BLACK
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/Moto_Metal_957_Matte_Black-300.png
"18"" x 10"",20"" x 10"",20"" x 12"",22"" x 10""",Wheels,"
MO968
","
SATIN BLACK W/ CLEAR COAT
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo9682_20x12-1402-093-00-300.png
"20"" x 10""",Wheels,"
MO971
","
SATIN BLACK
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/wheelpros_mo971_20x10-1404-285-00-300.png
"20"" x 10"",20"" x 12""",Wheels,"
MO975
","
PVD
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/MO9758-300.png
"20"" x 10""",Wheels,"
MO951
","
CHROME
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/Moto_Metal_951_Chrome_3001.png
"20"" x 10"",20"" x 12""",Wheels,"
MO975
","
SATIN BLACK MILLED
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/MO9759-300.png
"20"" x 10"",20"" x 12"",22"" x 10""",Wheels,"
MO976
","
PVD
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo9768_20x12-1501-030-00-3001.png
"20"" x 10"",20"" x 12"",22"" x 10""",Wheels,"
MO976
","
SATIN BLACK MILLED
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/motometal_mo9769_20x12-1501-029-00-300.png
"18"" x 10"",20"" x 10""",Wheels,"
MO961
","
CHROME
",Size,"2,4,5,6",Color,Moto Metal,Rims,http://wheelimages.motometalwheels.com/images/wheels/med/MotoMetal_961_6_Lug_Chrome_W_Chrome_Inserts-300.png
